sweep,case,arm,flow_n,dt_scale,nbatch,nsteps,tfrac,max_its,status,iters_step1,median_iters_rest,imbalance,total_iters,iters_by_step,step1_overshoot,step1_contraction,theory_contraction,failed_step,n_failed_members,error
arms,vp_isoharden,pred+ls,2,1,8,6,0.0606061,50,ok,11,3,3.66667,26,11-4-3-3-3-2,4983.09,4.03057,4,-1,-1,
arms,vp_isoharden,pred-ls,2,1,8,6,0.0606061,50,ok,15,3,5,30,15-4-3-3-3-2,677334,4.00359,4,-1,-1,
arms,vp_isoharden,nopred+ls,2,1,8,6,0.0606061,50,ok,11,11,1,66,11-11-11-11-11-11,4983.09,4.03057,4,-1,-1,
arms,vp_isoharden,nopred-ls,2,1,8,6,0.0606061,50,ok,15,15,1,90,15-15-15-15-15-15,677334,4.00359,4,-1,-1,
stiffness,vp_isoharden,pred-ls,2,1,8,6,0.0606061,50,ok,15,3,5,30,15-4-3-3-3-2,677334,4.00359,4,-1,-1,
stiffness,vp_isoharden,pred-ls,4,1,8,6,0.0606061,50,ok,17,3,5.66667,34,17-5-4-3-3-2,561891,3.16174,3.16049,-1,-1,
stiffness,vp_isoharden,pred-ls,8,1,8,6,0.0606061,50,ok,17,3,5.66667,34,17-6-4-3-2-2,386678,2.91178,2.91029,-1,-1,
stiffness,vp_isoharden,pred-ls,12,1,8,6,0.0606061,50,ok,17,3,5.66667,35,17-7-4-3-2-2,266101,2.84232,2.84094,-1,-1,
stiffness,vp_isoharden,pred-ls,20,1,8,6,0.0606061,50,ok,17,3,5.66667,37,17-10-3-3-2-2,126021,2.79121,2.78951,-1,-1,
stiffness,vp_isoharden,nopred-ls,2,1,8,6,0.0606061,50,ok,15,15,1,90,15-15-15-15-15-15,677334,4.00359,4,-1,-1,
stiffness,vp_isoharden,nopred-ls,4,1,8,6,0.0606061,50,ok,17,17,1,102,17-17-17-17-17-17,561891,3.16174,3.16049,-1,-1,
stiffness,vp_isoharden,nopred-ls,8,1,8,6,0.0606061,50,ok,17,19,0.894737,112,17-19-19-19-19-19,386678,2.91178,2.91029,-1,-1,
stiffness,vp_isoharden,nopred-ls,12,1,8,6,0.0606061,50,ok,17,21,0.809524,122,17-21-21-21-21-21,266101,2.84232,2.84094,-1,-1,
stiffness,vp_isoharden,nopred-ls,20,1,8,6,0.0606061,50,ok,17,26,0.653846,146,17-25-26-26-26-26,126021,2.79121,2.78951,-1,-1,
stepsize,vp_isoharden,pred+ls,2,1,8,6,0.0606061,50,ok,11,3,3.66667,26,11-4-3-3-3-2,4983.09,4.03057,4,-1,-1,
stepsize,vp_isoharden,pred+ls,2,2,8,6,0.121212,50,ok,12,3,4,26,12-4-3-3-2-2,31713,4.00784,4,-1,-1,
stepsize,vp_isoharden,pred+ls,2,5,8,6,0.30303,50,ok,14,2,7,26,14-3-3-2-2-2,250543,4.00402,4,-1,-1,
stepsize,vp_isoharden,pred+ls,2,10,8,6,0.606061,50,ok,15,2,7.5,24,15-3-2-2-1-1,1.07739e+06,4.00235,4,-1,-1,
stepsize,vp_isoharden,pred+ls,2,20,8,6,1.21212,50,ok,16,2,8,25,16-3-2-2-1-1,4.4641e+06,4.00091,4,-1,-1,
stepsize,vp_isoharden,pred-ls,2,1,8,6,0.0606061,50,ok,15,3,5,30,15-4-3-3-3-2,677334,4.00359,4,-1,-1,
stepsize,vp_isoharden,pred-ls,2,2,8,6,0.121212,50,ok,16,3,5.33333,30,16-4-3-3-2-2,2.83214e+06,4.0014,4,-1,-1,
stepsize,vp_isoharden,pred-ls,2,5,8,6,0.30303,50,ok,17,2,8.5,29,17-3-3-2-2-2,1.81695e+07,4.00055,4,-1,-1,
stepsize,vp_isoharden,pred-ls,2,10,8,6,0.606061,50,ok,18,2,9,27,18-3-2-2-1-1,7.33085e+07,4.00022,4,-1,-1,
stepsize,vp_isoharden,pred-ls,2,20,8,6,1.21212,50,ok,19,2,9.5,28,19-3-2-2-1-1,2.94499e+08,4.00014,4,-1,-1,
stepsize,vp_isoharden,nopred+ls,2,1,8,6,0.0606061,50,ok,11,11,1,66,11-11-11-11-11-11,4983.09,4.03057,4,-1,-1,
stepsize,vp_isoharden,nopred+ls,2,2,8,6,0.121212,50,ok,12,12,1,72,12-12-12-12-12-12,31713,4.00784,4,-1,-1,
stepsize,vp_isoharden,nopred+ls,2,5,8,6,0.30303,50,ok,14,14,1,84,14-14-14-14-14-14,250543,4.00402,4,-1,-1,
stepsize,vp_isoharden,nopred+ls,2,10,8,6,0.606061,50,ok,15,15,1,90,15-15-15-15-15-15,1.07739e+06,4.00235,4,-1,-1,
stepsize,vp_isoharden,nopred+ls,2,20,8,6,1.21212,50,ok,16,16,1,96,16-16-16-16-16-16,4.4641e+06,4.00091,4,-1,-1,
stepsize,vp_isoharden,nopred-ls,2,1,8,6,0.0606061,50,ok,15,15,1,90,15-15-15-15-15-15,677334,4.00359,4,-1,-1,
stepsize,vp_isoharden,nopred-ls,2,2,8,6,0.121212,50,ok,16,16,1,96,16-16-16-16-16-16,2.83214e+06,4.0014,4,-1,-1,
stepsize,vp_isoharden,nopred-ls,2,5,8,6,0.30303,50,ok,17,17,1,102,17-17-17-17-17-17,1.81695e+07,4.00055,4,-1,-1,
stepsize,vp_isoharden,nopred-ls,2,10,8,6,0.606061,50,ok,18,18,1,108,18-18-18-18-18-18,7.33085e+07,4.00022,4,-1,-1,
stepsize,vp_isoharden,nopred-ls,2,20,8,6,1.21212,50,ok,19,19,1,114,19-19-19-19-19-19,2.94499e+08,4.00014,4,-1,-1,
arms,vp_isoharden_inverted,pred+ls,2,1,8,6,0.0606061,50,ok,9,3,3,24,9-4-3-3-3-2,1,1.02241,4,-1,-1,
arms,vp_isoharden_inverted,pred-ls,2,1,8,6,0.0606061,50,ok,9,3,3,24,9-4-3-3-3-2,1,1.02241,4,-1,-1,
arms,vp_isoharden_inverted,nopred+ls,2,1,8,6,0.0606061,50,ok,9,8,1.125,49,9-8-8-8-8-8,1,1.02515,4,-1,-1,
arms,vp_isoharden_inverted,nopred-ls,2,1,8,6,0.0606061,50,ok,9,8,1.125,49,9-8-8-8-8-8,1,1.02515,4,-1,-1,
stiffness,vp_isoharden_inverted,pred-ls,2,1,8,6,0.0606061,50,ok,9,3,3,24,9-4-3-3-3-2,1,1.02241,4,-1,-1,
stiffness,vp_isoharden_inverted,pred-ls,4,1,8,6,0.0606061,50,ok,12,3,4,26,12-4-3-3-2-2,789.074,1.01655,3.16049,-1,-1,
stiffness,vp_isoharden_inverted,pred-ls,8,1,8,6,0.0606061,50,ok,15,2,7.5,28,15-4-3-2-2-2,290605,1.06041,2.91029,-1,-1,
stiffness,vp_isoharden_inverted,pred-ls,12,1,8,6,0.0606061,50,ok,16,2,8,29,16-4-3-2-2-2,2.06392e+06,1.07836,2.84094,-1,-1,
stiffness,vp_isoharden_inverted,pred-ls,20,1,8,6,0.0606061,50,ok,17,2,8.5,29,17-4-3-2-2-1,9.6523e+06,1.13319,2.78951,-1,-1,
stiffness,vp_isoharden_inverted,nopred-ls,2,1,8,6,0.0606061,50,ok,9,8,1.125,49,9-8-8-8-8-8,1,1.02515,4,-1,-1,
stiffness,vp_isoharden_inverted,nopred-ls,4,1,8,6,0.0606061,50,ok,12,11,1.09091,67,12-11-11-11-11-11,1,1.04482,3.16049,-1,-1,
