sweep,case,arm,flow_n,dt_scale,iteration,residual
arms,vp_isoharden,pred+ls,2,1,0,9.51627700e+01
arms,vp_isoharden,pred+ls,2,1,1,4.74204500e+05
arms,vp_isoharden,pred+ls,2,1,2,1.18528700e+05
arms,vp_isoharden,pred+ls,2,1,3,2.96096300e+04
arms,vp_isoharden,pred+ls,2,1,4,7.37990100e+03
arms,vp_isoharden,pred+ls,2,1,5,1.82267400e+03
arms,vp_isoharden,pred+ls,2,1,6,4.34159600e+02
arms,vp_isoharden,pred+ls,2,1,7,8.98521800e+01
arms,vp_isoharden,pred+ls,2,1,8,1.12037400e+01
arms,vp_isoharden,pred+ls,2,1,9,3.09167600e-01
arms,vp_isoharden,pred+ls,2,1,10,2.63734300e-04
arms,vp_isoharden,pred+ls,2,1,11,1.95283700e-10
arms,vp_isoharden,pred-ls,2,1,0,9.51627700e+01
arms,vp_isoharden,pred-ls,2,1,1,6.44570200e+07
arms,vp_isoharden,pred-ls,2,1,2,1.61142300e+07
arms,vp_isoharden,pred-ls,2,1,3,4.02853600e+06
arms,vp_isoharden,pred-ls,2,1,4,1.00711100e+06
arms,vp_isoharden,pred-ls,2,1,5,2.51755300e+05
arms,vp_isoharden,pred-ls,2,1,6,6.29162500e+04
arms,vp_isoharden,pred-ls,2,1,7,1.57065200e+04
arms,vp_isoharden,pred-ls,2,1,8,3.90418500e+03
arms,vp_isoharden,pred-ls,2,1,9,9.53982100e+02
arms,vp_isoharden,pred-ls,2,1,10,2.17873100e+02
arms,vp_isoharden,pred-ls,2,1,11,3.85084100e+01
arms,vp_isoharden,pred-ls,2,1,12,2.87815800e+00
arms,vp_isoharden,pred-ls,2,1,13,2.22262200e-02
arms,vp_isoharden,pred-ls,2,1,14,1.36737300e-06
arms,vp_isoharden,pred-ls,2,1,15,1.32166700e-12
arms,vp_isoharden,nopred+ls,2,1,0,9.51627700e+01
arms,vp_isoharden,nopred+ls,2,1,1,4.74204500e+05
arms,vp_isoharden,nopred+ls,2,1,2,1.18528700e+05
arms,vp_isoharden,nopred+ls,2,1,3,2.96096300e+04
arms,vp_isoharden,nopred+ls,2,1,4,7.37990100e+03
arms,vp_isoharden,nopred+ls,2,1,5,1.82267400e+03
arms,vp_isoharden,nopred+ls,2,1,6,4.34159600e+02
arms,vp_isoharden,nopred+ls,2,1,7,8.98521800e+01
arms,vp_isoharden,nopred+ls,2,1,8,1.12037400e+01
arms,vp_isoharden,nopred+ls,2,1,9,3.09167600e-01
arms,vp_isoharden,nopred+ls,2,1,10,2.63734300e-04
arms,vp_isoharden,nopred+ls,2,1,11,1.95283700e-10
arms,vp_isoharden,nopred-ls,2,1,0,9.51627700e+01
